0	0.460	0.053	0.163	0.001
1	1.544	0.118	0.184	0.005
2	3.258	0.092	0.235	0.017
3	5.130	0.143	0.335	0.045
4	7.891	0.208	0.507	0.074
5	11.235	0.293	0.628	0.102
6	15.202	0.414	0.818	0.096
7	19.750	0.567	0.770	0.131
8	25.537	0.726	1.074	0.142
9	31.346	0.921	1.050	0.182
10	43.553	1.122	0.997	0.204
11	174.113	4.456	2.316	0.800
12	999.000	9.968	4.781	1.792
13	999.000	17.693	8.127	2.855
14	999.000	27.577	12.312	4.522
15	999.000	39.695	18.049	6.478
16	999.000	54.031	23.995	8.544
17	999.000	70.495	31.080	11.498
18	999.000	89.238	40.106	14.755
19	999.000	110.070	48.261	18.022
